player_id_decimal,player_id_hex,player_name,record_index,categories,height,weight,nationality,market_value_raw,market_value_eur_candidate,contract_end_candidate,annual_salary_raw,current_form_arrow_raw,transfer_flags_raw,team_role_raw,raw_record_sha256
58120,0x0000E308,Piero Hincapié,4992,named_control,184,74,149,500000,50000000,2026-06-30,0,18,0,0,a088bb710f316d7d3bedfc48f228763cc6613285624a22bc512a41354d52af38
108959,0x0001A99F,Declan Rice,8765,named_control,188,80,204,1200000,120000000,2028-06-30,0,18,0,0,eb0429a8187fd7557340d47ada7cdb86e160474cb0f2c9bf7377bf20e3b06727
127544,0x0001F238,Bukayo Saka,15018,market_max;named_control,178,72,204,1200000,120000000,2030-06-30,0,18,0,0,9e01ea52e9598e8cf369da34ef29355dc1c5bbcd6ef40e3d9d299cc2da8b6525
126689,0x0001EEE1,William Saliba,14632,named_control,192,85,208,900000,90000000,2030-06-30,0,18,0,0,e350471d367e1e997c0be047f45d00fde6d107250c609c3f803d93d707301c02
33739,0x000083CB,Morgan Rogers,739,named_control,187,80,204,800000,80000000,2031-06-30,0,18,0,0,36a5aa58b044b3d6f4c9180b63956522acd5df405b46c41a20d94b31ff6623e5
132155,0x0002043B,Jurrien Timber,16769,named_control,179,75,224,700000,70000000,2028-06-30,0,18,0,0,6b77d28fb289c69648cdff2f8d3023985d14de05933e1ca61444e3944f2a87f7
114506,0x0001BF4A,Kai Havertz,10375,named_control,193,82,210,500000,50000000,2028-06-30,0,18,0,0,5d4b64a7950021f189501458502dda45b91da05e348718100122f033f7f0515a
120246,0x0001D5B6,Vitor Roque ,12355,named_control,174,80,146,380000,38000000,2029-12-31,0,18,128,0,ce42260b9d68b4cfd6c15964548fe44a4f0e9115626d7fb19dab2b54f5a490b6
59801,0x0000E999,Youri Tielemans,5565,named_control,177,72,197,350000,35000000,2028-06-30,0,18,0,0,750e3423c4e81a191b86b1e55ce3d48a0479b86e105eb555f6a1fe3ef084a799
40352,0x00009DA0,Neymar,1468,named_control,175,74,146,100000,10000000,2026-12-31,0,18,176,0,d5824002da9028d4e3576860aacefa96148f86abfc015d2c48d8234643f3be2a
111207,0x0001B267,Gabriel Magalhães,9442,named_control,190,87,146,750000,75000000,,0,18,0,0,62607d59dee4d1a9080814ed0e3cc14a6eb24421fa570fbf4a6d52c1b8dbd01a
1073871551,0x4001FABF,Firas Al-buraikan,24683,named_control,181,75,31,0,0,,0,18,0,0,8dcf2ba0b21c2d2dba79456bb22f683a00908b133755e9275059fc1ae461c3d9
1073871615,0x4001FAFF,Lee Si-heon,24698,named_control,177,66,16,0,0,,0,18,192,0,960d9f72226d9db4357f88ec7b0863b068bad94ada4932db2fbc8cc4775971a1
2147483710,0x8000003E,Franz Gonzales,25004,named_control,171,71,145,0,0,,0,18,0,0,0a9161ca0a0b43872f03ebdcbaf3b11b4cdd8387140656f432b8f563d29fbc7f
296,0x00000128,Javier Martón,0,non_ascii_name;structural_diversity,181,72,236,0,0,,0,18,0,0,0ef6730f489e27498982ecb0a227a96e783edef670a7633aec8fdf31ce740814
811,0x0000032B,Fábio Ronaldo,5,non_ascii_name;structural_diversity,178,65,228,0,0,,0,18,144,0,bb669423f9f1a775075e23ecdc9f55499b0c613ee364999f03b188070b4bfc6d
1675,0x0000068B,Mathieu Choinière,32,non_ascii_name,175,69,110,0,0,,0,18,0,0,4edcc1ac0de37edbf4133d1efa139622f1c5d47d757461d181c75e0a3db574e9
104268,0x0001974C,Davor Zdravkovski,7666,height_min,130,76,221,0,0,,0,18,0,0,36443c90de61c063e868b5d68cb143d3d8c4c1f16a7c771b174603670d80f602
101888,0x00018E00,João Mendes,7072,height_max,210,75,228,0,0,,0,18,32,0,80ad9e11f77163e3295c90dd288f30cae603b5bd35a2f56e9ea7303f785ad585
138218,0x00021BEA,Bilal Ouacharaf,19614,weight_min,168,50,76,0,0,,0,18,0,0,373a042901bf639f69cfdfcdffa584e773dde4a903e260605a957a73b6d6df22
125011,0x0001E853,Dedeco,13866,weight_max,182,129,146,0,0,,0,18,0,0,6e65d39347d5c1e47a4fe5c5e788b462ff4f324f8929d8e04b0705de233eb13c
125693,0x0001EAFD,Ajak Riak,14149,nationality_max,192,77,312,0,0,,0,18,0,0,866e936654caf040b101ad7e7dfa067d3230d2e3d5cecd4293674dfd0397de0a
557,0x0000022D,Alexander Prass,1,structural_diversity,180,74,194,0,0,,0,18,32,0,256909e9027aac0a5d1d2dc6eedfc7e2345200a0c0c7afcfce468c9e85e7bbee
